Naam Locatie;Well code;X  [RD, m];Y [RD, m];;;;
Amsweer;AMR;256264;591481;;;;
Bierum;BIR;254744;599407;;;;
Bolderij;BOL;257785;582651;;;;
Barnheem;BRH;241070;592308;;;;
Borgsweer;BRW;263667;590544;;;;
Delfzijl;DZL;260662;591977;;;;
Eemskanaal;EKL;241539;584421;;;;
De Eeker 1;EKR1;259467;577265;;;;
De Eeker 2;EKR2;259944;577398;;;;
Froombosch;FRB;248233;578952;;;;
Farmsum;FRM;258300;594217;;;;
Heiligerlee;HGL;261865;575625;;;;
De Hond;HND;256854;602470;;;;
Harkstede;HRS;239780;582640;;;;
Kolham;KHM;244434;577802;;;;
Kooipolder;KPD;246529;580964;;;;
Leermens;LRM;250213;597054;;;;
Meeden;MDN;258257;574769;;;;
Midwolda;MWD;264339;578667;;;;
Noordbroek;NBR;255035;579624;;;;
Nieuwscheemda;NWS;258995;580208;;;;
Oldorp;ODP;238605;601801;;;;
Oostwold;OLD;265208;582820;;;;
Overschild;OVS;250484;590777;;;;
Oudeweg;OWG;256115;585671;;;;
De Paauwen;PAU;246052;588368;;;;
Ten Post;POS;245635;591366;;;;
Roode Til;ROT;258009;579594;;;;
Sappemeer;SAP;249530;575385;;;;
Schaapbulten;SCB;257329;588412;;;;
Siddeburen;SDB;253054;587461;;;;
Stedum;SDM;242519;594969;;;;
Slochteren;SLO;246416;579285;;;;
Schildmeer;SMR;253551;589480;;;;
Schaaphok;SPH;244144;582943;;;;
Spitsbergen 1;SPI1;252380;577234;;;;
Spitsbergen 2;SPI2;252590;577235;;;;
Schildwolde;SWO;250332;584845;;;;
Scheemderzwaag 1;SZW1;257063;578196;;;;
Scheemderzwaag 2;SZW2;257344;578130;;;;
Ten Boer;TBR;238916;586699;;;;
Tjuchem;TJM;254927;588194;;;;
Tusschenklappen;TUS;254433;575176;;;;
Uithuizermeeden;UHM;249319;607902;;;;
Uithuizen;UHZ;242643;605801;;;;
Uiterburen;UTB;255385;577360;;;;
Zuidbroek;ZBR;255056;576034;;;;
' t Zandt;ZND;247918;600637;;;;
Zuiderpolder;ZDP;261840;581024;;;;
Zeerijp;ZRP;244993;596411;;;;
Zuiderveen;ZVN;252967;579304;;;;
Zuidwending;ZWD;259621;571446;;;;